x,y,abs_delta_z,abs_delta_norm,lon,lat
667598.70963685,5073351.81079977,3.0373977492560114e-09,0.9999999998321191,11.15645493950407,45.793374659535154
667798.70963685,5073351.81079977,1.9650224475550136e-09,0.999999999892247,11.159026449950181,45.79332607530313
667998.70963685,5073351.81079977,4.921021846607217e-09,0.9999999997265047,11.16159795380254,45.793277433237414
668198.70963685,5073351.81079977,4.646423075097096e-09,0.9999999997419013,11.164169451053322,45.793228733338424
667398.70963685,5073551.81079977,9.703728144878702e-10,0.9999999999480168,11.15395275424009,45.795222046039356
667598.70963685,5073551.81079977,2.6925184858614045e-10,0.9999999999873286,11.156524353890875,45.795173516613524
667798.70963685,5073551.81079977,1.9116406720469367e-09,0.9999999998952401,11.15909594695496,45.79512492935002
667998.70963685,5073551.81079977,5.001668955873588e-09,0.9999999997219828,11.161667533424518,45.79507628424923
668198.70963685,5073551.81079977,2.1697043042030132e-09,0.9999999998807705,11.164239113291728,45.79502758131155
668398.70963685,5073551.81079977,1.9441662134279554e-09,0.9999999998934164,11.166810686548763,45.79497882053735
668598.70963685,5073551.81079977,3.718608531091408e-09,0.9999999997939237,11.169382253187798,45.794930001927035
666998.70963685,5073751.81079977,5.370912830488815e-09,0.9999999997012794,11.148878708301208,45.79711779687742
667198.70963685,5073751.81079977,4.00235232193355e-09,0.9999999997780142,11.15145040373003,45.797069380107246
667398.70963685,5073751.81079977,1.9201978881883743e-09,0.9999999998947603,11.154022092587029,45.797020905495
667598.70963685,5073751.81079977,3.4665440310484906e-09,0.999999999808057,11.156593774864385,45.79697237304111
667798.70963685,5073751.81079977,2.3516624575899385e-09,0.9999999998705682,11.159165450554264,45.796923782745935
667998.70963685,5073751.81079977,1.4637584986015112e-09,0.9999999999203527,11.161737119648848,45.79687513460988
668198.70963685,5073751.81079977,1.674768397340663e-09,0.9999999999085215,11.16430878214031,45.7968264286333
668398.70963685,5073751.81079977,3.267239174012322e-09,0.9999999998192319,11.166880438020822,45.79677766481664
668598.70963685,5073751.81079977,2.369026484049563e-09,0.9999999998695945,11.16945208728256,45.796728843160224
668798.70963685,5073751.81079977,2.6892967646533184e-09,0.999999999851637,11.172023729917703,45.796679963664495
668998.70963685,5073751.81079977,4.6549890342970853e-10,0.999999999976325,11.174595365918423,45.79663102632983
666798.70963685,5073951.81079977,3.3907335842981766e-09,0.9999999998123076,11.146376103327182,45.79896502367338
666998.70963685,5073951.81079977,2.2653633456221672e-09,0.9999999998754069,11.148947887956698,45.798916661728185
667198.70963685,5073951.81079977,3.133500636502041e-10,0.999999999984856,11.151519666021454,45.79886824193694
667398.70963685,5073951.81079977,5.840246502843134e-10,0.9999999999696793,11.154091437513618,45.798819764300035
667598.70963685,5073951.81079977,2.8208341740788754e-09,0.9999999998442618,11.156663202425364,45.79877122881788
667798.70963685,5073951.81079977,2.624319684022116e-09,0.9999999998552803,11.159234960748867,45.79872263549085
667998.70963685,5073951.81079977,2.417311331622846e-09,0.9999999998668873,11.1618067124763,45.79867398431931
668198.70963685,5073951.81079977,2.6556399760228284e-09,0.9999999998535242,11.164378457599838,45.79862527530367
668398.70963685,5073951.81079977,3.2672354188423804e-09,0.9999999998192322,11.166950196111655,45.79857650844432
668598.70963685,5073951.81079977,1.1241356417910832e-09,0.9999999999393954,11.169521928003922,45.79852768374163
668798.70963685,5073951.81079977,1.9906120109964582e-09,0.9999999998908122,11.172093653268815,45.79847880119602
668998.70963685,5073951.81079977,5.289768117622776e-10,0.9999999999727658,11.174665371898511,45.79842986080786
